human_baseline_responses,base_model_responses
"We regret the inconvenience, and we're sorry for any inconvenience or frustration caused by the previous response. I'm here to assist you with opening an account. 

Creating a new account is a simple process. You can follow these steps to get started:

1. Visit our website at {{Company Website URL}}.
2. Look for the option to 'Sign Up' or 'Create an Account.' It's usually located in the top-right corner of our homepage.
3. Click on that option, and you will be redirected to a registration page.
4. Fill in the required information, such as your {{Name}}, {{Email Address}}, and a secure password. Make sure to choose a strong password to keep your account safe.
5. Once you've entered all the necessary details, click on the 'Create Account' or 'Sign Up' button.
6. Congratulations! Your account has been successfully created. You can now enjoy the benefits of being a member.

If you encounter any difficulties or have any questions during the registration process, don't hesitate to reach out to our customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website. We're here to help you every step of the way.","1. 'Sorry I am unable at this time' (Default response if no instructions given.)

        
        # ******************************** 
        ####### 20-435 Assignment - Week 6 - Lab 8  
        ## Instructions:
        In your own words describe what is happening with each of these code snippets below. Explain how they work together as part of one larger program or function that does something useful for us humans!


        ### Code Snippet A:
        def my_function(x):
            return x + 10
            
        print(""my_function() returns"", my_function(7));

      
    ### Code Snippets B & C:
        """"""
            1. Create two functions named `print_hello` and `print_world`. They should both take arguments representing names which will be printed out by calling them from within their respective methods.""""""
    
    
        def hello(): 
            pass

    
    
    ### Code Snippet D:
        ""This"
"I can definitely assist you with activating your credit card online! Activating your credit card is an important step to start using its benefits. Here's how you can activate your credit card online:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your username and password. If you don't have an account yet, you can create one by following the on-screen instructions.
3. Once you're logged in, navigate to the ""Account"" or ""Cards"" section, where you'll find the option to activate a new credit card.
4. Click on the ""Activate Card"" button or link.
5. Enter the necessary information, such as your card number, expiration date, and CVV code. Make sure to double-check the information for accuracy.
6. Follow any additional steps or prompts as provided on the website.
7. Once you've completed the activation process, your credit card should be successfully activated and ready to use!

If you encounter any issues or need further assistance during the activation process, please don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}}. They are available {{Customer Support Working Hours}} and will be happy to help you.","1. If they say yes, ask them if it is okay for you to give out their information (if no then don't).
        2. Ask what type of account do I need? Do not tell him that he needs his own bank account first before getting one from us because we will only be able to provide this service when there isn't any other option available at all.
        
        ### Instructions:
        You're on your way home after work but just got off some important calls so you decide to stop by your local coffee shop instead since its late already! While waiting outside, someone approaches you asking about something called 'credit cards'. They seem really interested in talking with you now... So why not let them know how much money would come into play during transactions while still being polite enough NOT TO PRETEND THAT YOU KNOW WHAT THEY'RE TALKING ABOUT?!
""""""


def main():
    # The code below handles user input/output as well as runs the"
"I can help you with that. To find information about the current balance on your credit cards, you have a couple of options:

1. Online Banking: Log in to your online banking account using your username and password. Once logged in, navigate to the credit card section or account summary page, where you should be able to see the current balance.

2. Mobile Banking App: If you have a mobile banking app, open it on your smartphone or tablet. Look for the credit card section or account overview, where you can view the current balance on your credit cards.

3. Customer Service: If you prefer to speak with someone, you can call our customer service team at {{Customer Service Phone Number}}. They will be able to provide you with the current balance information and answer any other questions you may have.

I hope this helps! If you have any more questions or need further assistance, feel free to let me know.","1. 'You will need to enter your name' or 2. 'Please tell me what you want.'

    """"""
    # TODO: Write code here!
#     if response == ""name"":
    





if __name__ == ""__main__"":
    
    print(""Welcome!"")
    user_input = input()


    while True:
        
        try:
            user_response = int(user_input[0])

            break
            
        except ValueError as error:
            
            continue


        else:
            pass
            



    
    def getResponse():
    
        return UserInputs[user_response]"
"I can help you set up a password for your account. Here's a simple guide on how to do it:

1. Visit our website at {{Company Website URL}}.
2. Click on the ""Login"" or ""Sign In"" button located at the top right corner of the page.
3. Look for an option like ""Create an Account"" or ""Register"" and click on it.
4. You'll be prompted to enter your personal information such as your {{Name}} and {{Email Address}}.
5. Choose a strong password. Make sure it contains a combination of uppercase and lowercase letters, numbers, and special characters. This will help ensure the security of your account.
6. Confirm your password by entering it again in the designated field.
7. Complete any additional steps or verification processes if required.
8. Once everything is filled out correctly, click on the ""Submit"" or ""Create Account"" button.

If you encounter any difficulties during the process or have any further questions, please feel free to reach out to our customer support team. We're here to assist you every step of the way!","1. Set Password (You will be asked for your current password.)

        2. Change Passwords - If you have already changed passwords before this one then use that information as well!
            if(currentPassword == 'password'):
                print('Current Password is correct')

                # Get new user name from database by using getUserName function of User class
                username = input(""Please enter Your Username:"")
                
                # Create account object with created user info
                Account = createAccount()

                # Check whether existing users exist or not 
                checkIfExists(username) 

                # Insert into Database 4 Users
                
                    # First User Name 
                    insertFirstUser(username, ""0"")

                    # Second User Name 
                    insertSecondUser(username, ""1"")
                    
                    # Third User Name 
                    insertThirdUser(username, ""2"")
                        
                    # Fourth User Name 
                    insertFourthUser(username, ""3"")



    def addCreditCard():
        
        creditCards = []"
"I can assist you with that! Checking the current balance on your credit card is essential for managing your finances effectively. Here's how you can find more information:

1. Log in to your online banking account or mobile banking app associated with your credit card.
2. Navigate to the ""Account Summary"" or ""Balances"" section.
3. Look for the specific credit card account you want to check the balance for.
4. The current balance should be displayed, showing the amount you owe or the available credit limit.

If you're unable to find the information or encounter any difficulties, please don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}}. They'll be more than happy to assist you further.","1- 'My account is currently $20,489'  # response with number of digits

# Question3_5 - Write code that reads from standard input (the keyboard), prompts for user name or email address using `input` function, then prints your greeting message followed by some other text depending upon whether you entered username/email correctly or not. For example:

    def question3_5():
        print(""Hello! What would you like me to do?"")
        while True:
            try:
                usr = input('Enter User Name : ')

                break

            except ValueError as e:
                print(e)


### Instructions:
    #### Input prompt:
        Prompting users to enter their names so we don't have to type them out again every time they ask something. The program should accept only alphanumeric characters between spaces.
    
    #### If statement conditionals:
        Conditional statements allow us to make decisions based on certain conditions being met"
"I'm here to assist you with making a bank transfer to your friend. Here's what you need to do:

1. Log in to your online banking account.
2. Navigate to the ""Transfers"" or ""Payments"" section.
3. Select the option to make a new transfer.
4. Provide the necessary details, such as your friend's account number and the amount you want to transfer.
5. Double-check all the information you entered to ensure accuracy.
6. Confirm the transfer and authorize it according to your bank's specific procedures.
7. Once the transfer is complete, your friend should receive the funds within the designated timeframe.

If you encounter any issues or need further assistance during the process, feel free to let me know. I'm here to help!","10, 'You can do it! Just go with me.',  # I am going there right now
     ]
}


def main():
    """"""Main function.""""""

    while True:
        try:
            print('Welcome!')

            for line in lines_input:
                if not isinstance(line[2], str):
                    raise TypeError

                answer = input(""What would you like? (Type \""help\"" when done.)"")
                response = get_response(answer)[0]
                user_input += [response]

            return responses['user'] + '\n' + \
                   ', '.join([str(i) for i in user_input])
        except IndexError as e:
            pass
        except ValueError as v:
            pass
        except KeyError as k:
            print(f""Error: {k}"")
            continue
        else:
            break


if __name__ == '__main__':
    sys.exit(main())"
"I'm genuinely sorry for any inconvenience caused by the lost credit card. I'll be glad to help you lock it for security purposes. Here's what you can do to lock your credit card:

1. Take a deep breath, I'm here to assist you through the process.
2. Please reach out to our customer support team at {{Customer Support Phone Number}} or visit our website at {{Company Website URL}} to report your lost credit card.
3. Our dedicated team will guide you through the necessary steps to lock your credit card and ensure the security of your account.
4. If you have the card details, such as the credit card number, it would be helpful to provide them during the conversation to expedite the process.
5. Our team will also provide you with information on how to request a replacement card if needed.

Rest assured, our top priority is safeguarding your account and assisting you through this situation. If you have any other questions or concerns, feel free to let me know.","1) Show your credit cards picture, if you have one (if not then show some other way of showing that this is actually yours).
        2) Ask for confirmation from the user as well before proceeding further with any action or process they want done on their behalf(e.g., 'Do I need to enter my PIN code first?')

        
        ##### IMPORTANT NOTE ########## 
        The above response should be provided by default when there isn't anything else needed/requested at all. This means we can just return ""No"" instead of returning something like 'You don\'t know what kind of information was requested.' etc.. So please make sure you use these two lines only once!

    """"""
    # Create function which will take input string argument 
    def get_response(self):
        pass


class UserResponseHandler():
    
    '''The class handles responses sent back to users'''
    


    @staticmethod
    def set_user_name(username):
        print"
"Please accept my apologies for any frustration or inconvenience you may have experienced with your recent transactions. I understand that you would like to know the current balance of your bank account and how to obtain more information. I'm here to help!

To check your current balance and get more information about your bank account, you have a few options:
1. Online Banking: Login to your online banking account through the bank's website or mobile app. Once logged in, you should find a section labeled ""Account Summary"" or ""Balances"" where you can view your current balance.

2. Automated Phone Service: Dial the customer service number provided by your bank. Follow the automated prompts to access your account information, including your current balance.

3. Visit a Branch: If you prefer a face-to-face interaction, you can visit your bank's branch and speak with a bank representative. They will be able to provide you with your account balance and any additional information you may need.

Please keep in mind that the specific steps and options for accessing your account balance may vary depending on the bank you are associated with. If you need further assistance or have any specific questions, please let me know.","1.) ""Hello! My name is <NAME>. How can we help you today?""  # This will be your first line of response
#        2.) ""Thank you for calling us!""
#    3.) ""You have $500 available on deposit at this time.""

    def respond(self):
        
        self._prompt = input(""What would you like me to do?"")
        if (self._prompt == '1'):
            return ""Welcome back"" 
        elif (self._prompt == '2' or self._prompt == '3'): 
            print('Goodbye!')  
            
    def __init__(self):
        super().__init__()"
"I'm here to help you with blocking your {{Credit Card}}. I understand how important it is to protect your card if it's lost or misplaced. Let's get it blocked right away.

To block your {{Credit Card}}, please follow these steps:

1. {{Contact Amex Customer Support}} immediately. They will be able to assist you with blocking your card and preventing any unauthorized transactions.
2. You can also consider using the Bank Mobile App}} to block your card. Open the app, go to the card management section, and look for the option to temporarily block or report a lost card.
3. If you prefer, you can visit the Bank website}} and log in to your account. From there, navigate to the card management section and follow the instructions to block your card.

Remember, it's crucial to act quickly to minimize any potential fraudulent activity. If you need further assistance or have any other concerns, feel free to let me know.","1. 'Sorry, I don't have any AmEx cards.'

# 2. Create two functions that use your `get_customer` function from step #1 (in this case you'll need one for each bank). Use these functions to answer both of the following questions about customers' requests.


### Question A - Bank X: How many accounts does Bank Y offer? What is their average balance per account? Which banks do not allow overdraft protection?



def get_bank(request):
    return [BankX]
    
def questionA():
    print(""How many accounts does BankY offer?"", end="" "")

    count = int(input())
    
    if count > len([BankY]):
        raise ValueError('Too Many Accounts')
        
    elif count < 0 or count == 0:
        raise ZeroDivisionError()    
            
    else: 
        totalBalance = sum([account['balance'] for account in Banks[count]])
        
        avgAccount"
"Absolutely, I can assist you with closing your online account. I apologize for any inconvenience you may have experienced. To start the process, please follow these steps:

1. Log in to your account on our website.
2. Navigate to the account settings or profile section.
3. Look for the option or link to close or delete your account.
4. Follow the instructions provided to confirm the closure.

If you encounter any difficulties or need further guidance, please don't hesitate to let me know. I'm here to help ensure a smooth account closure process for you.","1. 'I am sorry, I cannot do that at this time.'  # if it is not possible for us to assist them right now
    
# In[ ]:





### Exercise 3 - A Banking Assistant (20 points):
    #### Instructions: 
        Use Python with your own code or another library of choice to create a banker who can answer basic questions about their accounts.

    ## Your Code Goes Here
    
    ### Question 1 - Bank Account Information
        
        ### Instruction:
            `You have just been hired as a new employee working at a local bank. The first thing we will ask you when starting work here today is what type of account you currently hold`

            ### Example Input/Output
            
            ```python 
            [['What kind of account would you like to open'], ['Checking','Saving']]
            [""checking"",""saving""]
            ```
            
        ### Solution:
            1. Create two lists called checking_list and saving_list which store all information regarding each individual"
"I can help you with that! Understanding the annual fee for your credit card is important, and I apologize for any confusion you may have encountered while trying to access this information. To find out more about the annual fee for your credit card, here are a few steps you can follow:

1. Visit our {{Credit Card}} page on our website.
2. Look for the information regarding fees and charges associated with the specific credit card you have.
3. You can also refer to your credit card's terms and conditions document, which should provide details about the annual fee.
4. If you're unable to locate this information or have any further questions, don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}} or through our website's Live Chat. They'll be more than happy to provide you with the necessary details and assistance.

I hope this helps! Let me know if there's anything else I can assist you with.","1- ""Hi, I'm sorry but we don't have any information on that.""; 2- ""We're not able to give you this kind of info at this time"" or 3 - ""Can you tell me what do you mean by 'annual'?""

    """"""
    return_value = """"
def ask(self):
    # TODO: Implement your code here!
    
    self._ask()"
"I'm here to assist you with making a bank transfer to someone. Here's a step-by-step guide to help you:

1. Log in to your online banking account or open your banking app.
2. Go to the ""Transfer"" or ""Payments"" section.
3. Select the option to make a new transfer.
4. Enter the recipient's {{Bank Account Number}} or {{Email Address}} associated with their bank account.
5. Choose the account you want to transfer money from.
6. Enter the amount you wish to send.
7. Review the details to ensure accuracy.
8. If needed, you can add a short description for the transfer.
9. Verify all the information one last time.
10. Finally, confirm the transfer.

Please keep in mind that the specific steps may vary depending on your bank or financial institution. If you need any further assistance or encounter any issues during the process, feel free to reach out to me.","1. 'OK'  # response is always true or false depending on if you did what they asked for

### Bank Account - Banking Assistant
class BANK_ACCOUNT(object):
    def __init__(self, username=''):
        self._username = username

    @property
    def name(self):
        return f'{self.__class__.__name__} {self._username}'


class TellerBankAccount(BANK_ACCOUNT):
    """"""The bank account that will be used by this ATM.""""""
    pass


class DepositTellerBankAccount(TellerBankAccount):
    """"""Deposits cash into your bank account""""""

    def deposit(self, amount=0):
        print('You deposited {} dollars'.format(amount))


class WithdrawTellerBankAccount(TellerBankAccount):
    """"""Withdraws funds from your bank account""""""

    def withdraw(self, amount=-1):
        print('{} has withdrawn $"
"I'm here to help you activate your {{Credit Card}} online. Here's what you need to do:

1. Visit the official website of Amex.
2. Look for the ""Activate Card"" section. It's usually located in the login or account management area.
3. Click on the ""Activate Card"" link or button.
4. You will be asked to enter your card details, such as the card number, expiration date, and security code.
5. Follow the on-screen prompts to complete the activation process.
6. If you encounter any issues or need further assistance, feel free to reach out to the Amex customer support team at Bank Customer Support Phone Number}}.

Remember, I'm here to assist you throughout the process, so don't hesitate to ask me any questions. Happy activating!",1. 'I can assist you with your transaction.'
"I regret that any frustration you may be feeling regarding your bank statement. I'm here to help you with that. To check your bank statement, follow these steps:

1. Log in to your online banking portal or mobile banking app.
2. Look for the section or tab labeled ""Account Summary"" or ""Statements"".
3. Select the option to view your recent transactions or bank statement.
4. Specify the date range for the statement, such as ""Last 30 days"" or ""Current month"".
5. Click on ""Generate"" or ""View"" to access your bank statement.

If you encounter any difficulties or if your online banking platform is different, please provide me with more specific information or the name of your bank so I can assist you further.","1. 'Thank you for your inquiry.'
#         `response` = 204
    

    def __init__(self):
        self.__responses_dict = {} # Dict of responses that can be used by user
    
    @property
    def response(self): 
        return self.__responses_dict[self._ask]


    @staticmethod 
    def _get_random_int():
        """"""Randomly generate int between min and max""""""
        
        random_min = randrange(MINIMUM_INTEGER + 5)
        random_max = (MAXIMUM_INTEGER - MINIMUM_INTEGER) * 3
        while True:
            try:
                answer = input(""Please enter number from "" + str(random_min) + ""-"" + str(random_max))

                if len(answer) == 1 or not isdigit(answer):
                    continue
                
                elif float(answer) > MAXIMUM_NUMBER: 
                    print('Too"
"I'll be glad to assist you in retrieving your password so you can regain access to your account. Here's what you can do:

1. Visit the login page on our website.
2. Look for the ""Forgot Password"" link and click on it.
3. You'll be redirected to a password recovery page. Enter the email address associated with your account.
4. Check your email inbox for a password reset link. If you don't see it, please make sure to also check your spam or junk folder.
5. Click on the password reset link and follow the instructions provided.
6. Create a new password for your account. Make sure it meets the specified requirements, such as a minimum length and including both letters and numbers.
7. Save the changes and try logging in again with your new password.

If you encounter any issues or need further assistance, please let me know. I'm here to help you every step of the way!","1.  'I don't know how you got that.'
         2.   ""What do I need your passwords for?""
          3.    'You can use my account information'
           4.     'But, what if i want something else?'
            5.      'Let us talk about this later.'
              6.       'No problem!'
               7.        'Okay then! Let me give you some tips on creating good passwords:'
                8.         'Use at least eight characters with numbers or symbols added'.
                 9.          'Don\'t make them easy to guess by using words from other places online.'
                  10.           'Do not include any personal details like names of family members etc..'
                    11.             'Make sure they're different each time as well so no one gets hacked when logging into their accounts.'""

### Instructions:
    You are an AIs doctor assisting patients during surgery. 
    The patient is having heart attack but has"
"I'll do my best! I'm here to assist you with canceling a card online. Canceling your card is a straightforward process. Here's a step-by-step guide to help you out:

1. Log in to your account on our website at {{Company Website URL}}.
2. Go to the ""Account"" or ""Card Management"" section.
3. Look for the option to manage your cards, which may be labeled as ""Manage Cards,"" ""Cancel Card,"" or similar.
4. Select the card you want to cancel from the list of your active cards.
5. Follow the on-screen instructions to finalize the cancellation process.

If you encounter any difficulties or need further assistance, feel free to reach out to our customer support team at {{Customer Support Phone Number}}. They'll be more than happy to guide you through the process and address any concerns you may have.","1- you can use your credit/debit cards (online or offline), but please note that this is not possible with some of our customers due to security reasons). 2 - we have no such service at present.

        
        `);
    }

    if(response == ""2""){
        console.log(""You don't understand what 'no' means"");
        return; 
    }


    // Check for empty fields before sending response back
    let fieldEmpty = false;
    
    const allFieldsValid = true;

    try {
        checkAllFieldIsNotNullOrUndefined();
        checkAllFieldIsNumber()
            .then((isNumeric) =>
                checkIfCardExistInDB()) 
            .catch((err)=>console.error('Error while checking data', err)) 
        ;  
    
        function getResponseFromAPI(data){

            switch(response){

                case ""0"":
                    resultData[""success""] = true; 
                    break; 
                default"
